url;pg_debut;pg_fin;nom_revue;n_journal
http://fake.url.com/0000000376.pdf;30;39;International Journal of Sciences;56
http://fake.url.com/0000005291.pdf;22;27;International Journal of Sciences;55
http://fake.url.com/0000000417.pdf;8;16;Journal of Medical Research;56
http://fake.url.com/0000001972.pdf;12;18;Journal for Automated Reasoning;58
http://fake.url.com/0000001489.pdf;2;10;International Journal of Sciences;56
http://fake.url.com/0000005194.pdf;2;9;Applications of Machine Learning;53
http://fake.url.com/0000006073.pdf;2;8;International Journal of Sciences;53
http://fake.url.com/0000006114.pdf;2;8;Applications of Machine Learning;57
http://fake.url.com/0000000104.pdf;36;43;Applications of Machine Learning;57
http://fake.url.com/0000003094.pdf;7;17;Great Journal of Machine Learning;53
http://fake.url.com/0000006110.pdf;2;8;International Journal of Sciences;54
http://fake.url.com/0000007609.pdf;24;31;Applications of Machine Learning;56
http://fake.url.com/0000002892.pdf;2;11;Great Journal of Machine Learning;54
http://fake.url.com/0000000016.pdf;22;26;Applications of Machine Learning;52
http://fake.url.com/0000006183.pdf;27;38;International Journal of Sciences;54
http://fake.url.com/0000000396.pdf;2;10;Climate Change Research;57
http://fake.url.com/0000008510.pdf;19;32;Mathematics and Optimization;52
http://fake.url.com/0000009234.pdf;2;11;Applications of Machine Learning;58
http://fake.url.com/0000002173.pdf;16;29;Journal of Medical Research;55
http://fake.url.com/0000006797.pdf;16;28;Applications of Machine Learning;51
http://fake.url.com/0000009223.pdf;49;55;Applications of Machine Learning;53
http://fake.url.com/0000005489.pdf;2;11;Nature: Ecology and Climate Change;56
http://fake.url.com/0000008244.pdf;18;30;Mathematics and Optimization;51
http://fake.url.com/0000009380.pdf;9;15;International Journal of Sciences;54
http://fake.url.com/0000004814.pdf;10;15;International Journal of Sciences;52
http://fake.url.com/0000007935.pdf;2;15;Journal of Economics;54
http://fake.url.com/0000005232.pdf;45;54;International Journal of Sciences;51
http://fake.url.com/0000001919.pdf;2;9;Mathematics and Optimization;54
http://fake.url.com/0000008851.pdf;11;21;Applications of Machine Learning;52
http://fake.url.com/0000008416.pdf;2;8;Journal of Physics;53
http://fake.url.com/0000003383.pdf;2;15;Applications of Machine Learning;51
http://fake.url.com/0000001800.pdf;2;11;Great Journal of Machine Learning;51
http://fake.url.com/0000007857.pdf;8;21;Great Journal of Machine Learning;55
http://fake.url.com/0000004107.pdf;2;15;International Journal of Sciences;58
http://fake.url.com/0000005634.pdf;27;36;Great Journal of Machine Learning;56
http://fake.url.com/0000000878.pdf;9;18;International Journal of Sciences;53
http://fake.url.com/0000004598.pdf;37;48;Applications of Machine Learning;53
http://fake.url.com/0000007339.pdf;2;10;Journal for Automated Reasoning;56
http://fake.url.com/0000004936.pdf;10;17;Mathematics and Optimization;51
http://fake.url.com/0000006098.pdf;20;27;Great Journal of Machine Learning;51
http://fake.url.com/0000006900.pdf;16;24;International Journal of Sciences;58
http://fake.url.com/0000005139.pdf;8;15;Applications of Machine Learning;54
http://fake.url.com/0000009369.pdf;2;8;Climate Change Research;51
http://fake.url.com/0000005257.pdf;12;21;Nature: Ecology and Climate Change;56
http://fake.url.com/0000004542.pdf;2;7;Applications of Machine Learning;54
http://fake.url.com/0000007654.pdf;2;7;Journal of Medical Research;56
http://fake.url.com/0000006879.pdf;20;24;Applications of Machine Learning;53
http://fake.url.com/0000003875.pdf;2;9;Mathematics and Optimization;52
http://fake.url.com/0000008780.pdf;10;18;Mathematics and Optimization;52
http://fake.url.com/0000009816.pdf;25;36;Applications of Machine Learning;53
http://fake.url.com/0000000374.pdf;12;17;Journal for Automated Reasoning;52
http://fake.url.com/0000003153.pdf;16;26;International Journal of Sciences;54
http://fake.url.com/0000001264.pdf;16;29;International Journal of Sciences;52
http://fake.url.com/0000000639.pdf;2;15;International Journal of Sciences;57
http://fake.url.com/0000008149.pdf;2;15;Journal of Medical Research;51
http://fake.url.com/0000004701.pdf;25;29;International Journal of Sciences;58
http://fake.url.com/0000007060.pdf;35;46;Applications of Machine Learning;54
http://fake.url.com/0000008309.pdf;10;19;Applications of Machine Learning;53
http://fake.url.com/0000009658.pdf;2;8;International Journal of Sciences;55
http://fake.url.com/0000008942.pdf;14;26;Great Journal of Machine Learning;56
http://fake.url.com/0000004074.pdf;16;26;International Journal of Sciences;57
http://fake.url.com/0000009637.pdf;9;21;International Journal of Sciences;55
http://fake.url.com/0000001981.pdf;2;13;Journal for Automated Reasoning;54
http://fake.url.com/0000003245.pdf;12;23;Applications of Machine Learning;56
http://fake.url.com/0000003989.pdf;2;9;Mathematics and Optimization;51
http://fake.url.com/0000005623.pdf;2;7;Great Journal of Machine Learning;55
http://fake.url.com/0000000894.pdf;2;12;Mathematics and Optimization;53
http://fake.url.com/0000008874.pdf;2;9;Nature: Ecology and Climate Change;54
http://fake.url.com/0000004009.pdf;24;36;International Journal of Sciences;51
http://fake.url.com/0000001206.pdf;13;23;International Journal of Sciences;51
http://fake.url.com/0000008400.pdf;2;9;Climate Change Research;53
http://fake.url.com/0000002283.pdf;2;12;Journal of Economics;53
http://fake.url.com/0000005104.pdf;2;9;Journal of Economics;52
http://fake.url.com/0000001672.pdf;21;32;Great Journal of Machine Learning;52
http://fake.url.com/0000004303.pdf;2;8;Climate Change Research;54
http://fake.url.com/0000003418.pdf;2;12;International Journal of Sciences;51
http://fake.url.com/0000003225.pdf;9;20;Great Journal of Machine Learning;52
http://fake.url.com/0000007049.pdf;12;18;Great Journal of Machine Learning;54
http://fake.url.com/0000003353.pdf;2;9;International Journal of Sciences;52
http://fake.url.com/0000004474.pdf;2;6;Great Journal of Machine Learning;58
http://fake.url.com/0000003242.pdf;2;15;Journal of Medical Research;55
http://fake.url.com/0000004802.pdf;16;29;International Journal of Sciences;56
http://fake.url.com/0000009204.pdf;33;45;Mathematics and Optimization;52
http://fake.url.com/0000005312.pdf;44;52;Applications of Machine Learning;57
http://fake.url.com/0000003636.pdf;2;14;Applications of Machine Learning;55
http://fake.url.com/0000006068.pdf;25;34;Applications of Machine Learning;54
http://fake.url.com/0000005276.pdf;37;44;International Journal of Sciences;51
http://fake.url.com/0000002383.pdf;2;10;Applications of Machine Learning;52
http://fake.url.com/0000001043.pdf;39;47;International Journal of Sciences;54
http://fake.url.com/0000008620.pdf;12;19;Great Journal of Machine Learning;51
http://fake.url.com/0000003991.pdf;35;39;Applications of Machine Learning;51
http://fake.url.com/0000006874.pdf;12;18;Applications of Machine Learning;58
http://fake.url.com/0000009711.pdf;22;35;Nature: Ecology and Climate Change;56
http://fake.url.com/0000006822.pdf;9;21;Applications of Machine Learning;57
http://fake.url.com/0000008970.pdf;16;24;Applications of Machine Learning;54
http://fake.url.com/0000007237.pdf;2;11;Journal for Automated Reasoning;52
http://fake.url.com/0000008066.pdf;15;19;Applications of Machine Learning;55
http://fake.url.com/0000004751.pdf;2;9;Mathematics and Optimization;57
http://fake.url.com/0000005195.pdf;2;6;Great Journal of Machine Learning;53
http://fake.url.com/0000006225.pdf;2;6;Great Journal of Machine Learning;57
http://fake.url.com/0000000164.pdf;9;20;Climate Change Research;54
http://fake.url.com/0000000337.pdf;2;11;Journal of Medical Research;54
http://fake.url.com/0000005414.pdf;2;8;Great Journal of Machine Learning;52
http://fake.url.com/0000006919.pdf;10;18;Mathematics and Optimization;54
http://fake.url.com/0000005273.pdf;2;11;Journal for Automated Reasoning;58
http://fake.url.com/0000005712.pdf;2;13;Great Journal of Machine Learning;56
http://fake.url.com/0000003700.pdf;2;9;Journal of Economics;56
http://fake.url.com/0000003050.pdf;22;35;Applications of Machine Learning;57
http://fake.url.com/0000005872.pdf;20;27;Mathematics and Optimization;53
http://fake.url.com/0000006893.pdf;2;7;Mathematics and Optimization;55
http://fake.url.com/0000003191.pdf;2;11;Applications of Machine Learning;56
http://fake.url.com/0000000169.pdf;29;34;Applications of Machine Learning;51
http://fake.url.com/0000009212.pdf;2;9;Journal for Automated Reasoning;57
http://fake.url.com/0000007064.pdf;11;15;International Journal of Sciences;56
http://fake.url.com/0000005947.pdf;13;19;Mathematics and Optimization;53
